id;titulo;autor;ano;genero;ADVCL;ADVMOD;AMOD;APPOS;AUX;CASE;CC;CCOMP;COMP;CONJ;COORD;COP;CSUBJ;CSUBJPASS;DEP;DET;DISCOURSE;DOBJ;IOBJ;MARK;MOD;MWE;NSUBJ;NSUBJPASS;NUM;NUMBER;PARATAXIS;POBJ;POSS;PRECONJ;PREDET;PUNCT;ROOT;S;SJ;XCOMP
1;A virtude laureada;Manoel Maria de Barbosa du Bocage;1805;Drama;21;259;569;8;3;591;316;27;0;18;0;75;1;0;3920;788;0;435;54;61;620;395;382;1;7;10;204;174;92;1;0;300;227;0;0;26
2;Os Pobres;Raul Brandão;1906;Novel;35;411;525;2;19;672;483;76;1;26;0;246;2;0;1933;1144;0;609;61;115;527;105;548;1;7;0;235;236;74;2;1;740;506;0;0;61
3;Raios de extincta luz;Antero de Quental;1892;Poetry;41;351;548;5;7;749;370;50;0;30;0;184;1;0;2566;1049;0;457;50;107;554;296;450;1;12;18;172;315;80;4;0;544;368;0;0;45
4;Dispersão;Mário Sá-Carneiro;1914;Petry;49;418;416;15;3;610;433;67;0;17;0;218;6;0;2264;683;0;575;78;110;546;221;491;0;0;0;259;209;81;6;0;727;546;0;0;46
5;Cantos Sagrados;Manuel de Arriaga;1899;Poetry;24;272;643;5;10;870;359;53;0;32;0;127;1;0;2903;1161;0;404;34;88;644;225;384;3;12;3;130;364;128;1;0;324;253;0;0;23
6;A Pavorosa Illusão;Manuel Maria Barbosa du Bocage;1837;Poetry;39;280;764;0;5;808;343;53;0;15;0;63;0;0;2519;1223;0;556;44;68;846;280;411;5;5;0;193;324;131;0;0;343;290;0;0;34
7;A Scena do Odio;José de Almada Negreiros;1915;Poem;8;185;406;8;0;846;209;62;0;12;0;170;0;0;3257;757;0;232;8;62;614;641;247;4;15;4;85;437;50;0;0;572;491;0;0;35
8;Aves Migradoras;Fialho d'Almeida;1922;Tale;32;363;651;2;18;942;401;67;2;31;0;167;0;0;2297;1201;0;560;61;95;696;140;441;1;24;1;198;435;86;2;0;407;302;0;0;50
9;Canções;António Botto;1921;Poem;42;381;508;7;2;673;433;50;0;27;0;186;2;0;2310;1169;0;490;32;109;629;186;493;0;5;0;228;270;233;0;0;522;359;0;0;42
10;A Invenção do Dia Claro;José de Almada Negreiros;1921;Essay;47;497;349;5;30;765;251;94;0;23;0;291;2;0;1979;1180;0;589;38;129;486;297;541;0;33;1;108;236;99;0;5;626;546;0;0;58
11;Mágoas Amorosas de Elmano;Manuel Maria Barbosa du Bocage;1805;Poetry;29;324;589;22;0;766;530;37;0;37;0;59;0;0;3122;766;0;427;66;74;648;442;427;7;15;15;280;206;59;7;0;376;258;0;0;37
12;Elegia;Manuel Maria Barbosa du Bocage;1790;Poetry;35;306;824;0;0;789;353;24;0;35;0;106;0;0;1425;1131;0;436;35;82;883;518;530;0;12;0;200;236;130;0;0;448;542;0;0;0
13;Queixumes do Pastor Elmano Contra a Falsidade da Pastora Urselina Egloga;Manuel Maria Barbosa du Bocage;1791;Drama;27;464;636;0;8;560;310;50;0;27;0;142;0;0;3220;839;0;609;92;100;583;287;452;0;31;0;215;180;146;0;0;322;284;0;0;57
14;Improvisos de Bocage;Manuel Maria Barbosa du Bocage;1805;Poetry;25;282;510;7;2;597;307;42;0;35;0;47;0;0;3835;711;0;396;42;74;476;552;386;0;5;25;178;211;97;0;0;317;268;0;0;40
15;A Morte de D. Ignez;Manuel Maria Barbosa du Bocage;1824;Poetry;20;173;693;0;3;805;375;36;0;28;0;71;0;0;2566;856;0;405;56;61;609;637;456;0;15;18;194;280;54;3;0;479;438;0;0;31
16;K4 O Quadrado Azul;José de Almada Negreiros;1917;Other;32;553;820;0;27;1117;287;132;1;21;0;212;2;0;1122;1388;0;639;69;151;660;316;536;0;21;12;92;541;143;6;0;349;332;0;0;52
17;As theocracias litterarias;Teófilo Braga;1865;Chronicle;38;342;635;0;23;939;322;97;0;20;0;225;0;0;2101;1419;0;588;29;67;518;334;559;0;15;6;149;486;85;0;3;301;284;0;0;38
18;Paisagens da China e do Japão;Wenceslau de Moraes;1906;Tale;27;330;589;0;9;848;444;65;0;30;0;146;2;0;3374;1094;0;473;56;78;573;97;385;2;22;3;248;372;71;3;0;268;153;0;0;47
19;Villa Nova de Gaia;João Vaz;1868;Novel;64;351;615;3;12;812;486;81;1;40;0;221;4;1;2718;896;0;604;69;170;673;349;492;3;6;12;189;253;104;3;0;210;176;0;0;65
20;Viriatho;Teófilo Braga;1904;Novel;37;295;664;1;14;1081;404;74;1;30;0;199;1;0;1880;1350;0;584;54;101;673;229;497;2;25;0;171;526;96;4;1;331;257;0;0;49
21;VIAGEM PARA DELOS E MYCONOS;RUBEN A.;1963;Tale;16;303;750;4;9;1410;381;91;0;15;0;220;3;0;1065;1525;0;586;72;67;698;160;488;0;27;1;189;713;93;3;4;350;348;0;0;53
22;ARQUIMORTES;Augusto Abelaira;2003;Tale;54;580;494;5;39;830;331;112;0;37;0;170;0;0;3061;1067;0;533;78;158;565;270;421;0;32;5;192;265;78;2;0;261;146;0;0;49
23;A CORTE DO NORTE;Agustina Bessa-Luís;1987;Novel;48;379;617;5;15;1172;385;108;0;27;0;248;2;0;1590;1342;0;551;62;138;624;248;577;1;14;2;105;539;104;2;1;362;335;0;0;44
24;A SIBILA;AGUSTINA BESSA-LUÍS;1954;Novel;51;438;646;4;17;1095;456;86;1;24;0;196;1;0;1880;1283;0;588;77;129;664;105;532;1;14;1;186;504;131;3;1;320;254;0;0;44
25;O CHAPÉU DAS FITAS A VOAR;AGUSTINA BESSA-LUÍS;2008;Tale;63;494;431;11;29;975;460;144;2;34;0;327;4;1;1341;1189;0;659;71;179;514;189;632;2;23;5;148;396;60;2;3;560;488;0;0;55
26;DICIONÁRIO IMPERFEITO;AGUSTINA BESSA-LUÍS;2008;Anthology;51;430;626;4;12;1038;410;107;1;23;0;309;4;0;1497;1424;0;532;45;142;548;136;578;2;10;1;151;478;97;4;1;441;398;0;0;43
27;EMBARQUE EM BRINDISI;AGUSTINA BESSA-LUÍS;1971;Tale;39;371;681;0;9;1063;477;72;4;27;0;226;0;0;1660;1311;0;566;32;105;694;144;559;3;7;6;142;473;102;0;1;398;376;0;0;46
28;LONGOS DIAS TÊM CEM ANOS;AGUSTINA BESSA-LUÍS;1982;Narrative;42;380;563;5;14;1044;429;92;1;19;0;257;5;0;1642;1328;0;521;48;131;581;336;540;1;20;36;185;434;93;4;1;433;367;0;0;41
29;OS AMANTES APROVADOS;Agustina Bessa-Luís;1971;Tale;53;467;681;2;21;1157;437;97;2;39;0;168;0;0;1700;1316;0;559;58;150;711;124;543;2;12;0;202;474;122;7;0;299;253;0;0;41
30;O GALEÃO ENXOBREGAS;FRANCISCO MARIA BORDALO;1880-1881;Novel;32;408;539;1;24;1261;414;66;1;38;0;160;2;0;1719;1438;0;537;65;85;678;334;477;2;38;9;120;600;88;1;1;281;261;0;0;38
31;HISTÓRIA DO ROMANTISMO EM PORTUGAL I;TEÓFILO BRAGA;1880;Essay;31;296;744;2;17;1173;386;68;0;21;0;175;2;1;1809;1444;0;490;49;79;616;350;480;1;19;35;179;570;99;3;1;304;235;0;0;34
32;HISTÓRIA DO ROMANTISMO EM PORTUGAL II;TEÓFILO BRAGA;1880;Essay;32;305;712;4;14;1156;383;63;0;23;0;172;2;0;1884;1383;0;490;50;81;614;398;466;1;17;38;179;566;90;3;1;317;228;0;0;37
33;O DESTINO VIAJA A BORDO;MARIA ONDINA BRAGA;1982;Tale;24;385;399;3;25;1008;327;79;0;16;0;170;0;0;1266;1308;0;548;95;116;514;161;457;1;23;0;153;432;81;3;1;865;729;0;0;51
34;A Queda dum Anjo;Camilo Castelo Branco;1865;Novel;48;392;523;5;19;1072;389;110;2;29;0;203;1;0;1727;1226;0;617;112;142;557;280;540;1;28;1;178;519;102;2;1;457;316;0;0;52
35;Amor de Perdição;Camilo Castelo Branco;1862;Short story;61;429;390;5;16;983;401;121;3;30;0;218;2;0;1719;1219;0;686;129;174;538;204;583;1;37;2;188;451;169;2;1;517;318;0;0;64
36;GRACEJOS QUE MATAM;Camilo Castelo Branco;1875;Short story;59;321;496;3;8;1044;412;86;1;24;0;182;1;1;1657;1289;0;652;98;127;565;332;501;0;45;3;212;532;88;3;1;526;336;0;0;41
37;MARIA MOISÉS;Camilo Castelo Branco;1876/77;Short story;60;420;439;3;14;1013;442;108;3;30;0;229;2;1;1542;1283;0;649;110;166;575;288;556;0;38;3;244;478;92;2;0;510;311;0;0;56
38;O COMENDADOR;Camilo Castelo Branco;1877;Short story;37;334;438;3;14;1070;358;96;3;35;0;197;1;0;1617;1342;0;644;106;130;588;265;502;2;59;4;159;491;78;1;1;519;415;0;0;53
39;O DEGREDADO;Camilo Castelo Branco;1876;Short story;50;341;495;4;22;1150;371;95;0;24;0;155;1;0;1631;1270;0;623;88;132;626;422;468;0;42;17;158;572;94;1;1;406;333;0;0;59
40;O FILHO NATURAL;Camilo Castelo Branco;1876;Short story;55;343;500;3;14;1092;412;101;0;25;0;226;2;0;1536;1276;0;649;118;148;585;232;512;0;50;3;199;527;106;3;2;506;353;0;0;51
